t_ms,temp_C
1993,31.00
2493,31.25
2993,31.25
3493,31.00
3993,31.00
4493,31.00
4993,30.75
5493,31.25
5993,31.25
6493,31.25
6993,31.50
t_ms,temp_C,temp_C_filtered
7097,31.50,31.15
7597,31.25,31.16
8097,30.75,31.12
8597,31.75,31.18
9097,31.00,31.17
9597,31.00,31.15
10097,31.25,31.16
10597,31.50,31.19
11097,31.75,31.25
11597,31.25,31.25
12097,31.50,31.27
12597,31.50,31.30
13097,31.50,31.32
13597,30.50,31.24
14097,31.00,31.21
14597,31.50,31.24
15097,31.75,31.29
15597,31.50,31.31
16097,31.25,31.31
16597,31.50,31.33
17097,32.00,31.39
17597,31.75,31.43
18097,31.75,31.46
18597,31.50,31.46
19097,31.75,31.49
19597,31.25,31.47
20097,30.75,31.40
20597,31.50,31.41
21097,31.50,31.42
21597,31.25,31.40
22097,30.75,31.33
22597,31.00,31.30
23097,30.50,31.22
23597,30.75,31.17
24097,30.50,31.11
24597,30.00,31.00
25097,29.75,30.87
25597,29.75,30.76
26097,29.75,30.66
26597,29.75,30.57
27097,29.50,30.46
27597,29.75,30.39
28097,29.75,30.33
28597,29.25,30.22
29097,29.75,30.17
29597,29.75,30.13
30097,29.25,30.04
30597,29.50,29.99
31097,29.75,29.96
31597,29.50,29.92
32097,29.75,29.90
32597,29.50,29.86
33097,29.25,29.80
33597,29.25,29.74
34097,29.75,29.74
34597,29.00,29.67
35097,29.75,29.68
35597,29.75,29.69
36097,29.00,29.62
36597,29.75,29.63
37097,29.75,29.64
37597,29.50,29.63
38097,29.75,29.64
38597,29.75,29.65
39097,29.75,29.66
39597,29.75,29.67
40097,29.25,29.63
40597,29.50,29.62
41097,29.75,29.63
41597,30.00,29.67
42097,29.50,29.65
42597,30.00,29.68
43097,29.25,29.64
43597,29.50,29.63
44097,30.00,29.66
44597,29.50,29.65
45097,30.00,29.68
45597,29.50,29.66
46097,29.75,29.67
46597,30.00,29.71
47097,30.00,29.74
47597,30.00,29.76
48097,30.00,29.79
48597,30.00,29.81
49097,30.00,29.83
49597,29.50,29.79
50097,29.50,29.76
50597,30.00,29.79
51097,30.25,29.83
51597,29.50,29.80
52097,30.00,29.82
52597,30.00,29.84
53097,29.50,29.80
53597,30.00,29.82
54097,30.25,29.87
54597,30.00,29.88
55097,30.00,29.89
55597,30.00,29.90
56097,30.00,29.91
56597,30.00,29.92
57097,30.00,29.93
57597,30.00,29.94
58097,30.25,29.97
58597,30.00,29.97
59097,30.00,29.97
59597,30.00,29.98
60097,30.00,29.98
60597,30.00,29.98
61097,30.25,30.01
61597,30.00,30.01
62097,29.75,29.98
62597,30.25,30.01
63097,29.75,29.98
63597,29.50,29.93
64097,30.00,29.94
64597,30.25,29.97
65097,30.25,30.00
65597,30.25,30.02
66097,30.25,30.05
66597,29.50,29.99
67097,30.00,29.99
67597,30.00,29.99
68097,30.25,30.02
68597,30.25,30.04
69097,30.25,30.06
69597,30.25,30.08
70097,30.25,30.10
70597,29.75,30.06
71097,30.50,30.11
71597,30.50,30.15
72097,30.25,30.16
72597,30.25,30.17
73097,29.75,30.12
73597,30.25,30.14
74097,30.50,30.17
74597,29.75,30.13
75097,30.25,30.14
75597,30.25,30.15
76097,30.50,30.19
76597,30.00,30.17
77097,30.25,30.18
77597,30.25,30.18
78097,30.25,30.19
78597,30.00,30.17
79097,30.25,30.18
79597,30.25,30.19
80097,30.25,30.19
80597,30.50,30.22
81097,30.50,30.25
81597,30.50,30.28
82097,30.50,30.30
82597,30.00,30.27
83097,30.25,30.27
83597,30.50,30.29
84097,30.75,30.34
84597,30.50,30.35
85097,30.75,30.39
85597,30.25,30.38
86097,30.50,30.39
86597,30.50,30.40
87097,30.50,30.41
87597,31.00,30.47
88097,30.25,30.45
88597,30.50,30.45
89097,30.75,30.48
89597,30.25,30.46
90097,30.75,30.49
90597,30.75,30.51
91097,30.50,30.51
91597,30.50,30.51
92097,30.50,30.51
92597,30.75,30.53
93097,30.75,30.56
93597,30.75,30.58
94097,30.75,30.59
94597,30.25,30.56
95097,30.50,30.55
95597,30.75,30.57
96097,30.25,30.54
96597,30.75,30.56
97097,30.50,30.56
97597,30.25,30.52
98097,30.25,30.50
98597,30.25,30.47
99097,30.50,30.48
99597,30.75,30.50
100097,30.75,30.53
100597,30.75,30.55
101097,30.25,30.52
101597,30.75,30.54
102097,30.25,30.51
102597,30.75,30.54
103097,30.75,30.56
103597,30.75,30.58
104097,30.50,30.57
104597,30.00,30.51
105097,30.50,30.51
105597,30.50,30.51
106097,30.75,30.53
106597,30.75,30.56
107097,30.75,30.58
107597,30.25,30.54
108097,30.75,30.56
108597,30.00,30.51
109097,30.75,30.53
109597,31.00,30.58
110097,30.50,30.57
110597,30.25,30.54
111097,30.75,30.56
111597,30.75,30.58
112097,30.75,30.60
112597,30.75,30.61
113097,30.25,30.58
113597,31.00,30.62
114097,30.75,30.63
114597,30.75,30.64
115097,30.25,30.60
115597,31.00,30.64
116097,31.00,30.68
116597,30.75,30.69
117097,30.50,30.67
117597,31.00,30.70
118097,30.75,30.71
118597,30.75,30.71
119097,30.75,30.71
119597,30.75,30.72
120097,30.50,30.70
120597,31.00,30.73
