# experiment=prueba1
# started_at=2026-03-06T15:46:13
# port=COM5
# baud=115200
t_ms,temp_C
25472,26.25
25972,26.75
26472,26.75
26972,26.50
27472,26.00
27972,26.50
28472,26.25
28972,25.75
29472,26.50
29972,26.75
30472,26.75
30972,26.75
31472,26.25
31972,26.75
32472,26.50
32972,26.75
33472,26.75
33972,26.75
34472,27.00
34972,27.00
35472,27.00
35972,26.50
36472,27.00
36972,27.00
37472,27.50
37972,27.50
38472,27.75
38972,27.75
39472,27.75
39972,27.25
40472,27.50
40972,27.50
41472,28.00
41972,28.25
42472,28.50
42972,28.00
43472,28.75
43972,28.25
44472,28.50
44972,29.00
45472,28.75
45972,29.25
46472,29.00
46972,29.50
47472,29.50
47972,30.00
48472,30.00
48972,30.25
49472,30.25
49972,30.00
50472,31.00
50972,31.25
51472,31.75
51972,31.50
52472,32.00
52972,31.75
53472,32.00
53972,32.50
54472,33.00
54972,33.00
55472,32.75
55972,33.25
56472,33.75
56972,33.75
57472,34.00
57972,34.75
58472,35.00
58972,35.50
59472,35.50
59972,36.00
60472,36.25
60972,36.00
61472,36.75
61972,37.00
62472,36.75
62972,37.25
63472,38.00
63972,38.00
64472,38.50
64972,38.25
65472,39.00
65972,38.75
66472,39.25
66972,39.50
67472,40.00
67972,40.50
68472,41.00
68972,40.75
69472,41.25
69972,42.25
70472,42.25
70972,42.50
71472,42.50
71972,43.25
72472,43.75
72972,43.50
73472,44.25
73972,43.75
74472,45.00
74972,45.50
75472,45.25
75972,46.25
76472,46.00
76972,47.00
77472,46.50
77972,47.50
78472,47.50
78972,48.25
79472,48.75
79972,49.00
80472,49.50
80972,49.50
81472,50.50
81972,50.25
82472,50.50
82972,51.50
83472,50.75
83972,51.75
84472,52.50
84972,52.25
85472,53.00
85972,53.25
86472,53.75
86972,54.00
87472,54.00
87972,55.00
88472,55.50
88972,55.25
89472,56.00
89972,56.00
90472,56.00
90972,57.25
91472,57.75
91972,58.25
92472,58.75
92972,59.00
93472,59.00
93972,59.75
94472,59.75
94972,60.25
95472,61.25
95972,61.00
96472,61.75
96972,61.75
97472,62.00
97972,62.50
98472,63.25
98972,63.00
99472,64.25
99972,64.25
100472,64.75
100972,64.75
101472,65.50
101972,66.00
102472,65.75
102972,66.75
103472,67.25
103972,67.50
104472,67.75
104972,68.25
105472,69.00
105972,69.25
106472,69.50
106972,70.00
107472,70.00
107972,70.75
108472,71.00
108972,71.00
109472,72.25
109972,72.50
110472,73.00
110972,73.25
111472,73.25
111972,73.50
112472,74.50
112972,74.75
113472,75.50
113972,75.75
114472,76.50
114972,76.50
115472,76.75
115972,77.25
116472,77.50
116972,77.75
117472,78.50
117972,78.75
118472,79.25
118972,79.75
119472,80.25
119972,80.50
120472,81.00
120972,81.00
121472,81.50
121972,82.00
122472,82.25
122972,82.50
123472,83.25
123972,84.00
124472,83.75
124972,85.00
125472,85.00
125972,85.50
126472,85.75
126972,86.50
127472,86.50
127972,87.00
128472,87.25
128972,87.50
129472,88.00
129972,88.25
130472,88.75
130972,89.25
131472,89.75
131972,89.75
132472,90.00
132972,90.75
133472,91.25
133972,92.00
134472,92.25
134972,93.00
135472,92.75
135972,93.50
136472,93.75
136972,94.25
137472,94.50
137972,94.75
138472,95.00
138972,95.50
139472,95.75
139972,96.25
140472,97.00
140972,97.50
141472,98.00
141972,98.00
142472,98.75
142972,99.25
143472,99.25
143972,99.75
144472,99.75
144972,100.25
145472,101.00
145972,101.25
146472,101.75
146972,102.25
147472,102.25
147972,103.00
148472,103.25
148972,103.50
149472,104.00
149972,104.50
150472,105.00
150972,105.25
151472,105.75
151972,106.00
152472,106.75
152972,107.25
153472,107.25
153972,107.25
154472,108.25
154972,108.00
155472,109.00
155972,109.25
156472,109.75
156972,110.25
157472,110.00
