# experiment=Perfil_Prueba_1
# started_at=2026-03-04T10:57:48
# port=COM4
# baud=115200
t_ms,temp_C
2485807,30.50
2486307,30.00
2486807,30.50
2487307,29.75
2487807,30.50
2488307,30.00
2488807,30.25
2489307,30.75
t_ms,temp_C
2489721,30.00
2490221,30.50
2490721,30.25
t_ms,temp_C,temp_C_filtered
2491134,30.00,30.32
2491634,30.25,30.31
2492134,30.25,30.30
2492634,29.75,30.25
2493134,29.25,30.15
2493634,29.25,30.06
2494134,29.50,30.00
2494634,29.25,29.93
2495134,29.25,29.86
2495634,28.75,29.75
2496134,28.00,29.57
2496634,28.50,29.47
2497134,28.75,29.39
2497634,28.50,29.31
2498134,28.75,29.25
2498634,28.50,29.17
2499134,28.50,29.11
2499634,28.25,29.02
2500134,28.00,28.92
2500634,28.25,28.85
2501134,28.00,28.77
2501634,28.00,28.69
2502134,28.00,28.62
2502634,27.75,28.53
2503134,27.50,28.43
2503634,27.75,28.36
2504134,27.75,28.30
2504634,28.25,28.30
2505134,27.50,28.22
2505634,27.75,28.17
2506134,28.00,28.15
2506634,28.00,28.14
2507134,27.50,28.07
2507634,27.25,27.99
2508134,27.50,27.94
2508634,27.50,27.90
2509134,27.75,27.88
2509634,28.00,27.90
2510134,27.50,27.86
2510634,27.75,27.84
2511134,28.00,27.86
2511634,27.75,27.85
2512134,28.00,27.86
2512634,28.25,27.90
2513134,28.00,27.91
2513634,28.25,27.95
2514134,28.50,28.00
2514634,28.50,28.05
2515134,28.50,28.10
2515634,28.25,28.11
2516134,28.25,28.13
2516634,28.50,28.16
2517134,28.25,28.17
2517634,28.25,28.18
2518134,29.00,28.26
2518634,28.50,28.29
2519134,29.00,28.36
2519634,29.00,28.42
2520134,28.75,28.45
2520634,29.00,28.51
2521134,29.00,28.56
2521634,29.00,28.60
2522134,29.00,28.64
2522634,29.25,28.70
2523134,29.50,28.78
2523634,29.50,28.85
2524134,29.50,28.92
2524634,29.50,28.98
2525134,29.75,29.05
2525634,29.50,29.10
2526134,29.75,29.16
2526634,29.75,29.22
2527134,30.00,29.30
2527634,29.50,29.32
2528134,30.00,29.39
2528634,29.75,29.42
2529134,30.25,29.51
2529634,30.25,29.58
2530134,30.25,29.65
2530634,30.00,29.68
2531134,30.00,29.71
2531634,30.00,29.74
2532134,30.25,29.79
2532634,30.50,29.86
2533134,29.50,29.83
2533634,30.50,29.90
2534134,30.50,29.96
2534634,30.50,30.01
2535134,30.25,30.03
2535634,30.00,30.03
2536134,30.50,30.08
2536634,30.25,30.09
2537134,30.50,30.14
2537634,30.00,30.12
2538134,30.25,30.13
2538634,30.50,30.17
2539134,30.25,30.18
2539634,30.25,30.19
2540134,30.50,30.22
2540634,30.25,30.22
2541134,30.50,30.25
2541634,30.00,30.22
2542134,30.50,30.25
2542634,30.25,30.25
2543134,30.50,30.28
2543634,30.75,30.32
2544134,30.50,30.34
2544634,30.25,30.33
2545134,30.25,30.32
2545634,30.50,30.34
2546134,30.00,30.31
2546634,30.50,30.33
2547134,30.25,30.32
2547634,30.75,30.36
2548134,30.25,30.35
2548634,30.75,30.39
2549134,30.50,30.40
2549634,30.50,30.41
2550134,30.25,30.40
2550634,30.50,30.41
2551134,30.50,30.42
2551634,30.50,30.42
2552134,30.50,30.43
2552634,30.50,30.44
2553134,30.50,30.44
2553634,30.50,30.45
2554134,30.75,30.48
2554634,30.50,30.48
2555134,30.75,30.51
2555634,30.75,30.53
2556134,30.50,30.53
2556634,30.25,30.50
2557134,30.50,30.50
2557634,30.50,30.50
2558134,30.75,30.53
2558634,30.50,30.52
2559134,30.25,30.50
2559634,30.75,30.52
2560134,30.25,30.49
2560634,30.50,30.49
2561134,30.25,30.47
2561634,30.75,30.50
2562134,30.50,30.50
2562634,30.75,30.52
2563134,30.00,30.47
2563634,30.75,30.50
2564134,31.00,30.55
2564634,30.75,30.57
2565134,30.25,30.54
2565634,30.25,30.51
2566134,31.00,30.56
2566634,31.00,30.60
2567134,30.75,30.62
2567634,30.00,30.56
2568134,30.75,30.57
2568634,30.25,30.54
2569134,30.25,30.51
2569634,30.50,30.51
2570134,31.25,30.59
2570634,30.50,30.58
2571134,30.75,30.59
2571634,31.00,30.63
2572134,30.50,30.62
2572634,30.50,30.61
2573134,30.75,30.62
2573634,30.75,30.64
2574134,30.00,30.57
2574634,30.75,30.59
2575134,30.50,30.58
2575634,30.75,30.60
2576134,30.75,30.61
2576634,30.50,30.60
2577134,30.75,30.62
2577634,30.50,30.61
2578134,30.75,30.62
2578634,30.00,30.56
2579134,30.75,30.58
2579634,30.75,30.59
2580134,30.50,30.58
2580634,30.75,30.60
2581134,31.00,30.64
2581634,30.75,30.65
2582134,30.50,30.64
2582634,30.75,30.65
2583134,30.75,30.66
2583634,30.50,30.64
2584134,30.25,30.60
2584634,30.25,30.57
2585134,30.75,30.59
2585634,30.50,30.58
2586134,30.75,30.59
2586634,30.75,30.61
2587134,30.50,30.60
2587634,31.00,30.64
2588134,30.50,30.63
2588634,30.75,30.64
2589134,30.75,30.65
2589634,30.75,30.66
2590134,30.75,30.67
2590634,30.75,30.68
2591134,30.75,30.68
2591634,30.75,30.69
2592134,31.00,30.72
2592634,30.75,30.72
2593134,30.75,30.73
2593634,30.75,30.73
2594134,30.75,30.73
2594634,30.75,30.73
2595134,30.25,30.68
2595634,30.75,30.69
2596134,30.75,30.70
2596634,30.50,30.68
2597134,30.75,30.68
2597634,31.00,30.72
2598134,30.75,30.72
2598634,30.75,30.72
2599134,30.25,30.68
2599634,30.50,30.66
2600134,30.25,30.62
2600634,31.00,30.66
2601134,30.50,30.64
2601634,31.00,30.68
2602134,30.50,30.66
2602634,30.75,30.67
2603134,31.00,30.70
2603634,30.25,30.66
2604134,30.75,30.67
2604634,31.25,30.72
2605134,30.75,30.73
2605634,30.75,30.73
2606134,30.75,30.73
2606634,30.50,30.71
2607134,31.00,30.74
2607634,30.25,30.69
2608134,31.00,30.72
2608634,30.75,30.72
2609134,30.50,30.70
2609634,31.00,30.73
2610134,31.00,30.76
2610634,31.00,30.78
2611134,31.00,30.80
2611634,31.00,30.82
2612134,31.00,30.84
2612634,30.75,30.83
2613134,30.75,30.82
2613634,30.75,30.82
2614134,31.25,30.86
2614634,31.00,30.87
2615134,30.75,30.86
2615634,31.00,30.88
2616134,30.75,30.86
2616634,30.75,30.85
2617134,31.00,30.87
2617634,30.75,30.85
2618134,31.00,30.87
2618634,30.75,30.86
2619134,31.00,30.87
2619634,30.75,30.86
2620134,31.00,30.87
2620634,30.75,30.86
2621134,31.25,30.90
2621634,31.00,30.91
2622134,31.00,30.92
2622634,30.50,30.88
2623134,31.00,30.89
2623634,31.00,30.90
2624134,31.00,30.91
2624634,30.50,30.87
2625134,30.75,30.86
2625634,31.00,30.87
2626134,31.00,30.88
2626634,31.00,30.90
2627134,31.00,30.91
2627634,31.00,30.92
2628134,31.00,30.92
2628634,30.75,30.91
2629134,31.00,30.92
2629634,31.00,30.92
2630134,31.00,30.93
2630634,30.75,30.91
2631134,30.75,30.90
2631634,31.25,30.93
2632134,31.25,30.96
2632634,31.00,30.97
2633134,31.00,30.97
2633634,30.75,30.95
2634134,31.00,30.95
2634634,30.50,30.91
2635134,31.00,30.92
2635634,31.00,30.93
2636134,31.25,30.96
2636634,30.50,30.91
2637134,31.00,30.92
2637634,31.25,30.95
2638134,31.00,30.96
2638634,30.50,30.91
2639134,30.75,30.90
2639634,31.25,30.93
2640134,31.25,30.96
2640634,30.75,30.94
2641134,31.00,30.95
2641634,31.00,30.95
2642134,31.00,30.96
2642634,31.00,30.96
2643134,31.00,30.97
2643634,31.00,30.97
2644134,30.75,30.95
2644634,30.75,30.93
2645134,31.25,30.96
2645634,31.00,30.96
2646134,30.50,30.92
2646634,31.00,30.93
2647134,31.00,30.93
2647634,31.00,30.94
2648134,31.00,30.95
2648634,30.25,30.88
2649134,31.00,30.89
2649634,31.00,30.90
2650134,31.00,30.91
2650634,31.00,30.92
2651134,31.00,30.93
2651634,31.00,30.93
2652134,31.00,30.94
2652634,30.75,30.92
2653134,31.00,30.93
2653634,31.00,30.94
2654134,31.00,30.94
2654634,31.00,30.95
2655134,30.75,30.93
2655634,30.75,30.91
2656134,31.00,30.92
2656634,31.00,30.93
2657134,31.00,30.94
2657634,30.50,30.89
2658134,31.25,30.93
2658634,31.25,30.96
2659134,30.50,30.91
2659634,31.25,30.95
2660134,31.25,30.98
2660634,31.00,30.98
2661134,30.75,30.96
2661634,30.75,30.94
2662134,31.00,30.94
2662634,31.25,30.97
2663134,30.75,30.95
2663634,31.25,30.98
2664134,31.00,30.98
2664634,31.25,31.01
2665134,31.25,31.03
2665634,30.25,30.96
2666134,31.25,30.98
2666634,31.00,30.99
2667134,30.75,30.96
2667634,31.00,30.97
2668134,31.00,30.97
2668634,30.50,30.92
2669134,31.00,30.93
2669634,31.25,30.96
2670134,31.00,30.97
2670634,31.00,30.97
2671134,30.75,30.95
2671634,30.75,30.93
2672134,31.00,30.94
2672634,31.00,30.94
2673134,31.00,30.95
2673634,31.00,30.95
2674134,31.00,30.96
2674634,30.75,30.94
2675134,31.25,30.97
2675634,31.25,31.00
2676134,30.50,30.95
2676634,31.25,30.98
2677134,31.25,31.00
2677634,31.00,31.00
2678134,31.00,31.00
2678634,31.25,31.03
2679134,31.25,31.05
2679634,30.75,31.02
2680134,30.75,30.99
2680634,31.25,31.02
2681134,31.00,31.02
2681634,31.25,31.04
2682134,31.00,31.04
2682634,31.00,31.03
2683134,31.25,31.05
2683634,31.00,31.05
2684134,31.00,31.04
2684634,31.00,31.04
2685134,31.25,31.06
2685634,30.75,31.03
2686134,31.00,31.03
2686634,31.00,31.02
2687134,31.25,31.05
2687634,31.00,31.04
2688134,31.25,31.06
2688634,31.25,31.08
2689134,31.25,31.10
