# experiment=Perfil_Prueba_2
# started_at=2026-03-04T11:03:40
# port=COM4
# baud=115200
t_ms,temp_C
25327,31.00
25827,30.50
26327,31.00
26827,31.50
27327,31.50
27827,31.00
28327,31.25
28827,31.50
29327,31.00
29827,31.25
30327,30.75
30827,31.00
31327,30.75
31827,31.50
32327,31.25
32827,31.25
33327,31.50
33827,31.25
34327,31.50
34827,31.25
35327,31.00
35827,31.25
36327,31.00
36827,31.25
37327,31.00
37827,31.00
38327,31.25
38827,31.50
39327,31.25
39827,31.00
40327,31.00
40827,31.25
41327,31.50
41827,31.00
42327,31.25
42827,30.75
43327,31.25
43827,31.00
44327,31.25
44827,31.00
45327,30.75
45827,31.25
46327,31.25
46827,31.50
47327,31.25
47827,31.00
48327,31.25
48827,31.25
49327,30.75
49827,30.75
50327,31.00
50827,30.75
51327,30.75
51827,31.50
52327,31.00
52827,31.50
53327,31.25
53827,31.00
54327,31.00
54827,31.00
55327,31.00
55827,31.25
56327,31.00
56827,31.25
57327,31.00
57827,31.25
58327,31.00
58827,30.75
59327,31.00
59827,31.25
60327,30.75
60827,31.25
61327,31.25
61827,31.25
62327,31.00
62827,31.00
63327,31.00
63827,31.00
64327,31.25
64827,31.00
65327,31.25
65827,31.00
66327,31.00
66827,31.50
67327,31.00
67827,31.25
68327,31.25
68827,31.00
69327,30.75
69827,30.75
70327,31.00
70827,31.25
71327,31.25
71827,31.25
72327,31.00
72827,31.50
73327,31.00
73827,30.75
74327,30.75
74827,31.50
75327,31.25
75827,30.75
76327,30.75
76827,31.00
77327,31.25
77827,31.50
78327,31.25
78827,31.25
79327,30.75
79827,30.75
80327,31.25
80827,31.25
81327,31.50
81827,31.50
82327,31.00
82827,31.25
83327,31.25
83827,31.00
84327,31.25
84827,31.00
85327,31.25
85827,31.00
86327,31.50
86827,31.50
87327,31.25
87827,31.50
88327,31.00
88827,31.00
89327,31.25
89827,31.50
90327,31.25
90827,31.25
91327,31.00
91827,31.50
92327,31.00
92827,31.25
93327,30.75
93827,31.00
94327,31.50
94827,30.75
95327,31.25
95827,31.00
96327,31.25
96827,30.75
97327,30.50
97827,30.75
98327,31.00
98827,30.25
99327,31.00
99827,31.50
100327,31.25
100827,30.25
101327,31.25
101827,30.75
102327,30.75
102827,31.00
103327,31.00
103827,31.00
104327,31.00
104827,30.75
105327,31.25
105827,31.00
106327,31.25
106827,31.25
107327,30.50
107827,31.00
108327,30.75
108827,31.25
109327,31.25
109827,31.00
110327,30.50
110827,31.25
111327,31.00
111827,30.75
112327,30.75
112827,31.25
113327,31.25
113827,31.00
114327,30.75
114827,31.00
115327,30.50
115827,30.75
116327,31.00
116827,31.25
117327,30.75
117827,31.00
118327,31.00
118827,30.75
119327,31.00
119827,31.25
120327,31.25
120827,31.00
121327,31.25
121827,31.50
122327,30.75
122827,31.00
123327,31.25
123827,30.75
124327,30.50
124827,31.50
125327,31.00
125827,31.00
126327,31.00
126827,31.50
127327,31.50
127827,30.50
128327,30.75
128827,31.00
129327,30.75
129827,31.00
130327,31.25
130827,31.25
131327,31.25
131827,31.00
132327,31.00
132827,31.25
133327,31.25
133827,31.25
134327,31.00
134827,31.00
135327,31.50
135827,31.00
136327,31.25
136827,31.00
137327,31.00
137827,31.25
138327,30.75
138827,31.25
139327,30.75
139827,31.50
140327,31.25
140827,30.75
141327,31.50
141827,31.25
142327,31.00
142827,31.25
143327,31.00
143827,31.00
144327,31.00
144827,31.50
145327,31.00
145827,31.25
146327,31.50
146827,31.00
147327,31.00
147827,31.50
148327,31.25
148827,31.25
149327,31.00
149827,31.50
150327,31.50
150827,31.25
151327,31.00
151827,31.00
152327,31.00
152827,31.00
153327,31.25
153827,31.25
154327,31.00
154827,31.25
155327,31.00
155827,30.75
156327,31.25
156827,30.75
157327,31.25
157827,30.75
158327,31.00
158827,31.25
159327,31.25
159827,31.00
160327,31.00
160827,31.25
161327,31.25
161827,31.25
162327,31.50
162827,31.00
163327,31.25
163827,31.50
164327,31.25
164827,31.50
165327,31.25
165827,31.50
166327,31.50
166827,31.75
167327,31.00
167827,31.25
168327,31.50
168827,31.50
169327,31.50
169827,31.25
170327,30.75
170827,31.00
171327,31.25
171827,31.25
172327,31.50
172827,31.00
173327,31.00
173827,30.75
174327,31.25
174827,31.75
175327,31.00
175827,31.25
176327,31.25
176827,31.25
177327,31.25
177827,31.00
178327,31.50
178827,31.00
179327,30.75
179827,31.50
180327,31.50
180827,31.25
181327,31.00
181827,31.00
182327,31.25
182827,31.25
183327,31.00
183827,31.00
184327,30.75
184827,31.50
185327,30.75
185827,31.75
186327,31.25
186827,31.25
187327,31.25
187827,31.50
188327,31.50
188827,31.25
189327,31.25
189827,31.25
190327,31.00
190827,31.50
191327,31.50
191827,31.50
192327,31.75
192827,31.25
193327,31.75
193827,31.25
194327,31.00
194827,31.50
195327,31.25
195827,31.25
196327,30.75
196827,31.00
197327,31.00
197827,31.25
198327,31.25
198827,31.00
199327,31.50
199827,31.25
200327,31.75
200827,31.25
201327,31.25
201827,31.75
202327,31.50
202827,31.25
203327,31.25
203827,31.75
204327,31.25
204827,31.00
205327,30.75
205827,31.25
206327,31.75
206827,31.00
207327,31.50
207827,31.50
208327,31.25
208827,31.25
209327,31.25
209827,31.00
210327,31.25
210827,31.50
211327,31.00
211827,31.25
212327,31.25
212827,31.50
213327,31.50
213827,31.00
214327,31.00
214827,31.75
215327,31.50
215827,30.75
216327,31.50
216827,31.50
217327,31.50
217827,31.50
218327,31.75
218827,31.00
219327,31.25
219827,31.75
220327,31.25
220827,31.25
221327,31.25
221827,31.25
222327,31.50
222827,31.50
223327,31.50
223827,31.25
224327,31.50
224827,31.50
225327,31.50
225827,31.50
226327,31.50
226827,31.50
227327,31.50
227827,31.25
228327,31.50
228827,31.00
229327,31.00
229827,31.00
230327,31.00
230827,31.25
231327,31.50
231827,31.50
232327,31.50
232827,31.50
233327,31.25
233827,31.50
234327,31.50
234827,31.50
235327,31.25
235827,31.50
236327,31.00
236827,31.50
237327,31.00
237827,31.50
238327,31.50
238827,31.25
239327,31.50
239827,31.50
240327,31.50
240827,31.00
241327,31.50
241827,31.25
242327,31.25
242827,31.00
243327,31.50
243827,31.50
244327,31.00
244827,30.75
245327,31.25
245827,31.25
246327,31.00
246827,31.00
247327,31.50
247827,31.50
248327,31.50
248827,30.75
249327,31.25
249827,31.00
250327,31.00
250827,31.25
251327,31.50
251827,31.50
252327,31.50
252827,31.50
253327,31.50
253827,31.75
254327,31.75
254827,31.25
255327,31.25
255827,31.50
256327,31.50
256827,31.00
257327,31.00
257827,31.50
258327,31.00
258827,31.50
259327,31.25
259827,30.50
260327,31.50
260827,31.50
261327,31.50
261827,31.25
262327,31.50
262827,31.50
263327,31.25
263827,31.25
264327,31.25
264827,31.00
265327,31.50
265827,31.50
266327,31.75
266827,31.25
267327,31.50
267827,31.00
268327,31.25
268827,31.25
269327,31.50
269827,31.50
270327,31.25
270827,31.00
271327,31.50
271827,31.50
272327,31.50
272827,31.50
273327,31.25
273827,31.25
274327,31.50
274827,31.25
275327,30.75
275827,31.25
276327,31.25
276827,30.75
277327,31.00
277827,31.00
278327,31.25
278827,31.50
279327,31.25
279827,31.50
280327,31.25
280827,31.50
281327,31.50
281827,30.50
282327,31.50
282827,31.50
283327,30.75
283827,31.25
284327,31.50
284827,30.75
285327,31.00
285827,30.75
286327,31.50
286827,31.50
287327,31.75
287827,31.50
288327,31.75
288827,30.75
289327,31.25
289827,30.75
290327,31.00
290827,31.00
291327,31.00
291827,31.50
292327,31.50
292827,31.50
293327,31.50
293827,31.75
294327,31.00
294827,31.50
295327,31.00
295827,31.50
296327,31.50
296827,30.75
297327,31.25
297827,31.25
298327,31.50
298827,31.25
299327,31.50
299827,31.25
300327,30.75
300827,30.50
301327,31.00
301827,31.00
302327,31.25
302827,31.00
303327,31.50
303827,31.00
304327,30.75
304827,30.75
305327,31.25
305827,31.50
306327,31.25
306827,31.50
307327,31.50
307827,31.25
308327,31.50
308827,31.00
309327,31.50
309827,31.50
310327,31.25
310827,31.25
311327,31.50
311827,31.50
312327,31.25
312827,31.25
313327,31.00
313827,31.50
314327,31.50
314827,31.25
315327,31.50
315827,30.75
316327,31.50
316827,31.00
317327,31.00
317827,31.00
318327,31.25
318827,31.25
319327,30.75
319827,30.75
320327,31.00
320827,31.00
321327,31.25
321827,31.25
322327,30.75
322827,31.25
323327,31.00
323827,31.00
324327,31.25
324827,31.25
325327,31.25
325827,31.00
326327,31.25
326827,30.75
327327,31.00
327827,31.00
328327,31.25
328827,31.25
329327,31.25
329827,30.75
330327,31.00
330827,31.00
331327,31.25
331827,31.00
332327,30.75
332827,31.25
333327,30.75
333827,31.00
334327,30.75
334827,31.00
335327,31.00
335827,31.00
336327,31.25
336827,31.25
337327,31.25
337827,31.00
338327,31.00
338827,30.75
339327,30.75
339827,30.75
340327,31.00
340827,31.00
341327,31.25
341827,31.00
342327,31.00
342827,31.50
343327,30.75
343827,31.50
344327,31.00
344827,31.00
345327,31.25
345827,31.00
346327,31.00
346827,30.75
347327,30.75
347827,30.75
348327,31.50
348827,31.00
349327,30.50
349827,30.50
350327,31.00
350827,31.00
351327,31.50
351827,31.00
352327,31.00
352827,31.50
353327,31.50
353827,31.25
354327,30.75
354827,31.50
355327,31.50
355827,31.00
356327,31.00
356827,31.00
357327,31.25
357827,31.50
358327,31.00
358827,31.25
359327,31.25
359827,30.75
360327,31.25
360827,31.00
361327,31.25
361827,31.50
362327,30.75
362827,30.75
363327,31.00
363827,31.25
364327,30.75
364827,30.75
365327,30.75
