# experiment=perfil_1
# started_at=2026-03-04T11:10:49
# port=COM4
# baud=115200
t_ms,temp_C
13257,31.25
13757,31.00
14257,30.75
14757,31.00
15257,31.00
15757,31.00
16257,31.50
16757,31.00
17257,30.75
17757,31.00
18257,30.75
18757,31.25
19257,30.50
19757,30.75
20257,31.50
20757,31.25
21257,30.75
21757,31.00
22257,31.50
22757,31.25
23257,31.00
23757,31.25
24257,30.50
24757,31.25
25257,30.50
25757,30.75
26257,30.75
26757,31.25
27257,31.00
27757,31.25
28257,30.50
28757,31.00
29257,31.25
29757,31.25
30257,31.00
30757,31.00
31257,31.25
31757,31.50
32257,31.00
32757,31.25
33257,31.00
33757,31.25
34257,31.50
34757,31.25
35257,31.75
35757,31.00
36257,31.50
36757,31.00
37257,31.50
37757,31.00
38257,31.25
38757,30.75
39257,30.75
39757,30.75
40257,31.50
40757,31.50
41257,31.00
41757,31.50
42257,31.00
42757,31.00
43257,31.50
43757,31.25
44257,31.25
t_ms,temp_C,temp_C_filtered
45094,30.75,31.15
45594,31.00,31.14
46094,31.00,31.12
46594,31.00,31.11
47094,30.75,31.07
47594,31.25,31.09
48094,31.25,31.11
48594,31.00,31.10
49094,31.00,31.09
49594,31.25,31.10
50094,31.25,31.12
50594,30.75,31.08
51094,31.25,31.10
51594,30.75,31.06
52094,31.00,31.06
52594,31.25,31.08
53094,31.50,31.12
53594,31.00,31.11
54094,31.25,31.12
54594,31.25,31.13
55094,30.50,31.07
55594,31.25,31.09
56094,30.75,31.05
56594,31.25,31.07
57094,31.25,31.09
57594,30.75,31.06
58094,31.25,31.08
58594,31.25,31.09
59094,31.25,31.11
59594,31.50,31.15
60094,30.75,31.11
60594,31.00,31.10
61094,31.25,31.11
61594,30.75,31.08
62094,31.25,31.09
62594,31.00,31.08
63094,31.00,31.08
63594,31.25,31.09
64094,31.25,31.11
64594,31.25,31.12
65094,31.00,31.11
65594,30.75,31.07
66094,31.00,31.07
66594,31.00,31.06
67094,31.00,31.05
67594,31.00,31.05
68094,31.00,31.04
68594,31.00,31.04
69094,31.25,31.06
69594,31.25,31.08
70094,31.00,31.07
70594,30.50,31.01
71094,31.00,31.01
71594,31.25,31.04
72094,31.25,31.06
72594,31.00,31.05
73094,30.50,31.00
73594,31.25,31.02
74094,30.75,31.00
74594,31.50,31.05
75094,31.00,31.04
75594,31.00,31.04
76094,31.25,31.06
76594,31.00,31.05
77094,31.25,31.07
77594,31.25,31.09
78094,31.00,31.08
78594,30.75,31.05
79094,31.00,31.04
79594,31.00,31.04
80094,30.75,31.01
80594,30.75,30.98
81094,31.25,31.01
81594,31.00,31.01
82094,31.00,31.01
82594,30.75,30.98
83094,30.75,30.96
83594,30.75,30.94
84094,31.00,30.94
84594,31.00,30.95
85094,31.25,30.98
85594,31.00,30.98
86094,31.00,30.98
86594,30.75,30.96
87094,31.00,30.96
87594,31.25,30.99
88094,30.50,30.94
88594,31.00,30.95
89094,30.75,30.93
89594,30.50,30.89
90094,30.75,30.87
90594,30.50,30.84
91094,30.25,30.78
91594,31.00,30.80
92094,31.25,30.84
92594,31.00,30.86
93094,31.00,30.87
93594,30.50,30.84
94094,30.75,30.83
94594,31.25,30.87
95094,31.00,30.88
95594,31.00,30.89
96094,31.00,30.91
96594,31.00,30.91
97094,31.00,30.92
97594,31.00,30.93
98094,31.00,30.94
98594,31.00,30.94
99094,31.00,30.95
99594,31.00,30.95
100094,30.75,30.93
100594,31.00,30.94
101094,30.50,30.90
101594,31.00,30.91
102094,31.00,30.92
102594,31.25,30.95
103094,31.00,30.95
103594,31.00,30.96
104094,30.75,30.94
104594,30.50,30.89
105094,30.75,30.88
105594,31.00,30.89
106094,31.00,30.90
106594,31.00,30.91
107094,31.00,30.92
107594,30.50,30.88
108094,31.00,30.89
108594,31.00,30.90
109094,30.75,30.89
109594,31.00,30.90
110094,31.00,30.91
110594,31.00,30.92
111094,30.75,30.90
111594,30.25,30.84
112094,30.50,30.80
112594,30.00,30.72
113094,30.00,30.65
113594,29.50,30.53
114094,29.75,30.46
114594,29.50,30.36
115094,28.75,30.20
115594,29.25,30.10
116094,28.50,29.94
116594,29.00,29.85
117094,29.00,29.76
117594,29.25,29.71
118094,29.50,29.69
118594,29.25,29.65
119094,28.75,29.56
119594,29.50,29.55
120094,29.50,29.55
120594,29.50,29.54
121094,29.25,29.51
121594,29.25,29.49
122094,29.25,29.46
122594,29.50,29.47
123094,29.75,29.50
123594,29.75,29.52
124094,29.50,29.52
124594,29.25,29.49
125094,30.00,29.54
125594,29.00,29.49
126094,29.75,29.51
126594,29.75,29.54
127094,29.00,29.48
127594,29.75,29.51
128094,29.50,29.51
128594,29.50,29.51
129094,29.75,29.53
129594,29.75,29.55
130094,29.50,29.55
130594,29.25,29.52
131094,29.50,29.52
131594,29.25,29.49
132094,29.25,29.47
132594,29.25,29.44
133094,29.25,29.43
133594,29.50,29.43
134094,29.50,29.44
134594,29.75,29.47
135094,29.75,29.50
135594,29.50,29.50
136094,29.25,29.47
136594,29.25,29.45
137094,29.50,29.46
137594,29.50,29.46
138094,29.50,29.46
138594,29.75,29.49
139094,29.25,29.47
139594,29.50,29.47
140094,29.75,29.50
140594,29.25,29.47
141094,29.50,29.48
141594,29.00,29.43
142094,29.75,29.46
142594,29.75,29.49
143094,29.50,29.49
143594,29.50,29.49
144094,29.25,29.47
144594,29.25,29.45
145094,29.25,29.43
145594,29.75,29.46
146094,29.75,29.49
146594,29.50,29.49
147094,29.50,29.49
147594,29.50,29.49
148094,29.75,29.52
148594,29.75,29.54
149094,29.75,29.56
149594,29.75,29.58
150094,29.25,29.55
150594,29.50,29.54
151094,29.75,29.56
151594,29.50,29.56
152094,29.75,29.58
152594,29.75,29.59
153094,29.75,29.61
153594,29.75,29.62
154094,29.50,29.61
154594,29.50,29.60
155094,29.50,29.59
155594,29.00,29.53
156094,29.25,29.50
156594,29.50,29.50
157094,29.25,29.48
157594,28.75,29.40
158094,29.25,29.39
158594,29.75,29.43
159094,29.50,29.43
159594,29.75,29.46
160094,29.50,29.47
160594,29.50,29.47
161094,29.75,29.50
161594,29.25,29.47
162094,29.50,29.48
162594,29.50,29.48
163094,29.50,29.48
163594,29.50,29.48
164094,29.75,29.51
164594,29.50,29.51
165094,29.25,29.48
165594,29.25,29.46
166094,29.25,29.44
166594,29.00,29.39
167094,29.50,29.41
167594,29.75,29.44
168094,29.50,29.45
168594,29.50,29.45
169094,29.00,29.41
169594,29.50,29.42
170094,29.50,29.42
170594,29.25,29.41
171094,29.50,29.42
171594,29.25,29.40
172094,28.50,29.31
172594,29.25,29.30
173094,29.25,29.30
173594,29.25,29.29
174094,29.00,29.26
174594,29.25,29.26
175094,29.25,29.26
175594,29.25,29.26
176094,29.50,29.28
176594,29.00,29.26
177094,29.25,29.26
177594,29.25,29.25
178094,29.25,29.25
178594,29.50,29.28
179094,29.00,29.25
179594,29.50,29.28
180094,29.50,29.30
180594,28.75,29.24
181094,29.50,29.27
181594,29.00,29.24
182094,29.50,29.27
182594,29.50,29.29
183094,29.25,29.29
183594,29.25,29.28
184094,28.75,29.23
184594,29.50,29.26
185094,29.00,29.23
185594,29.50,29.26
186094,29.50,29.28
186594,29.00,29.25
187094,29.50,29.28
187594,29.50,29.30
188094,29.50,29.32
188594,29.75,29.36
189094,29.50,29.38
189594,29.50,29.39
190094,29.00,29.35
190594,29.00,29.32
191094,29.00,29.28
191594,29.50,29.31
192094,29.50,29.33
192594,29.25,29.32
193094,29.50,29.34
193594,29.00,29.30
194094,29.50,29.32
194594,29.50,29.34
195094,29.50,29.36
195594,29.50,29.37
196094,29.50,29.38
196594,28.75,29.32
197094,29.25,29.31
197594,29.00,29.28
198094,29.25,29.28
198594,29.25,29.28
199094,29.50,29.30
199594,29.50,29.32
200094,28.75,29.26
200594,29.50,29.29
201094,29.00,29.26
201594,29.00,29.23
202094,29.00,29.21
202594,29.25,29.21
203094,29.00,29.19
203594,29.00,29.17
204094,29.50,29.20
204594,29.00,29.18
205094,29.25,29.19
205594,28.75,29.15
206094,29.50,29.18
206594,29.25,29.19
207094,29.00,29.17
207594,29.25,29.18
208094,29.25,29.19
208594,29.50,29.22
209094,29.00,29.19
209594,29.00,29.18
210094,28.75,29.13
210594,29.50,29.17
211094,28.75,29.13
211594,29.00,29.11
212094,29.00,29.10
212594,29.50,29.14
213094,29.00,29.13
213594,29.00,29.12
214094,29.25,29.13
214594,29.25,29.14
215094,29.00,29.13
215594,29.00,29.11
216094,29.25,29.13
216594,29.25,29.14
217094,29.50,29.18
217594,29.00,29.16
218094,29.50,29.19
218594,29.25,29.20
219094,29.50,29.23
219594,29.50,29.26
220094,29.25,29.26
220594,29.00,29.23
221094,29.25,29.23
221594,29.00,29.21
222094,29.25,29.21
222594,29.25,29.22
223094,29.25,29.22
223594,29.50,29.25
224094,29.00,29.22
224594,29.50,29.25
225094,29.50,29.28
225594,29.00,29.25
226094,29.00,29.22
226594,28.75,29.18
227094,29.50,29.21
227594,29.25,29.21
228094,28.50,29.14
228594,28.75,29.10
229094,29.00,29.09
229594,29.25,29.11
230094,29.50,29.15
230594,29.25,29.16
231094,29.50,29.19
231594,29.50,29.22
232094,29.50,29.25
232594,29.00,29.23
233094,29.00,29.20
233594,29.00,29.18
234094,29.25,29.19
234594,29.00,29.17
235094,29.50,29.20
235594,29.00,29.18
236094,29.25,29.19
236594,29.00,29.17
237094,29.25,29.18
237594,29.25,29.19
238094,29.00,29.17
238594,29.00,29.15
239094,29.50,29.19
239594,28.75,29.14
240094,28.75,29.10
240594,29.50,29.14
241094,29.00,29.13
241594,29.25,29.14
242094,29.25,29.15
242594,29.00,29.14
243094,29.00,29.12
243594,29.25,29.14
244094,29.00,29.12
244594,29.25,29.13
245094,29.50,29.17
245594,29.50,29.20
246094,29.50,29.23
246594,29.25,29.24
247094,29.25,29.24
247594,29.25,29.24
248094,28.75,29.19
248594,29.00,29.17
249094,29.25,29.18
249594,29.00,29.16
250094,29.50,29.19
250594,29.00,29.17
251094,29.00,29.16
251594,28.75,29.12
252094,29.00,29.11
252594,29.25,29.12
253094,29.00,29.11
253594,28.75,29.07
254094,29.25,29.09
254594,29.50,29.13
255094,29.25,29.14
255594,29.50,29.18
256094,29.25,29.19
256594,28.75,29.14
257094,29.25,29.15
257594,29.50,29.19
258094,28.50,29.12
258594,29.00,29.11
259094,28.75,29.07
259594,29.25,29.09
260094,29.00,29.08
260594,29.00,29.07
261094,28.75,29.04
261594,29.00,29.04
262094,29.25,29.06
262594,28.75,29.03
263094,28.50,28.97
263594,28.75,28.95
264094,28.75,28.93
264594,29.50,28.99
265094,29.25,29.01
265594,29.25,29.04
266094,29.25,29.06
266594,29.00,29.05
267094,29.25,29.07
267594,28.75,29.04
268094,29.00,29.04
268594,29.25,29.06
269094,29.00,29.05
269594,29.25,29.07
270094,28.75,29.04
270594,29.25,29.06
271094,29.25,29.08
271594,29.25,29.10
272094,29.25,29.11
272594,28.50,29.05
273094,29.25,29.07
273594,29.25,29.09
274094,29.00,29.08
274594,29.00,29.07
275094,28.50,29.01
275594,29.25,29.04
276094,29.25,29.06
276594,29.00,29.05
277094,29.00,29.05
277594,29.25,29.07
278094,29.25,29.09
278594,29.25,29.10
279094,29.00,29.09
279594,29.25,29.11
280094,29.00,29.10
280594,29.25,29.11
281094,29.00,29.10
281594,28.75,29.07
282094,28.75,29.03
282594,29.00,29.03
283094,29.00,29.03
283594,29.25,29.05
284094,28.75,29.02
284594,29.00,29.02
285094,29.00,29.02
285594,29.25,29.04
286094,29.00,29.04
286594,29.00,29.03
287094,28.75,29.00
287594,29.00,29.00
288094,29.25,29.03
288594,28.50,28.98
289094,29.25,29.00
289594,29.25,29.03
290094,29.00,29.02
290594,28.50,28.97
291094,28.75,28.95
291594,28.75,28.93
292094,28.75,28.91
292594,29.00,28.92
293094,28.75,28.90
293594,28.75,28.89
294094,29.25,28.92
294594,28.50,28.88
295094,29.00,28.89
295594,28.50,28.85
296094,28.75,28.84
296594,28.75,28.83
297094,28.50,28.80
297594,28.75,28.80
298094,28.50,28.77
298594,28.75,28.76
299094,29.00,28.79
299594,28.75,28.78
300094,28.75,28.78
300594,28.75,28.78
301094,28.25,28.73
301594,28.75,28.73
302094,28.75,28.73
302594,28.50,28.71
303094,28.75,28.71
303594,28.50,28.69
304094,28.75,28.70
304594,28.75,28.70
305094,28.75,28.71
305594,28.50,28.69
306094,28.50,28.67
306594,29.00,28.70
307094,28.75,28.71
307594,29.25,28.76
308094,28.50,28.73
308594,28.75,28.74
309094,29.00,28.76
309594,29.00,28.79
310094,29.00,28.81
310594,28.50,28.78
311094,28.50,28.75
311594,29.00,28.77
312094,29.00,28.80
312594,28.25,28.74
313094,28.50,28.72
313594,28.75,28.72
314094,29.25,28.77
314594,28.75,28.77
315094,28.75,28.77
315594,28.50,28.74
316094,29.00,28.77
316594,29.00,28.79
317094,28.25,28.74
317594,28.75,28.74
318094,28.75,28.74
318594,28.75,28.74
319094,28.50,28.72
319594,28.75,28.72
320094,28.75,28.72
320594,28.50,28.70
321094,29.00,28.73
321594,28.75,28.73
322094,28.75,28.73
322594,28.75,28.74
323094,28.50,28.71
323594,28.75,28.72
324094,28.75,28.72
324594,28.75,28.72
325094,28.50,28.70
325594,28.75,28.71
326094,28.75,28.71
326594,28.75,28.71
327094,28.50,28.69
327594,28.75,28.70
328094,28.75,28.70
328594,28.75,28.71
329094,28.50,28.69
329594,29.00,28.72
330094,28.50,28.70
330594,28.25,28.65
331094,28.25,28.61
331594,28.75,28.63
332094,28.75,28.64
332594,28.25,28.60
333094,28.75,28.61
333594,28.25,28.58
334094,28.50,28.57
334594,28.25,28.54
335094,29.00,28.58
335594,28.75,28.60
336094,28.50,28.59
336594,28.25,28.56
337094,28.50,28.55
337594,28.50,28.55
338094,28.00,28.49
338594,28.25,28.47
339094,28.75,28.50
339594,28.25,28.47
340094,28.50,28.47
340594,28.00,28.43
341094,28.50,28.43
341594,28.50,28.44
342094,28.50,28.45
342594,28.50,28.45
343094,28.50,28.46
343594,28.75,28.49
344094,28.75,28.51
344594,28.50,28.51
345094,29.00,28.56
345594,28.25,28.53
